habitaciones;ba�os;parqueaderos;area_construida;area_privada;estrato;estado;antiguedad;administracion;precio_m2;Ascensor;Circuito cerrado de TV;Parqueadero Visitantes;porteria_recepcion;Zonas Verdes;salon comunal;balcon;Barra estilo americano;Calentador;Chimenea;citofono;Cocina Integral;Terraza;Vigilancia;parques;Estudio;Patio;deposito;nombre;ubicacion;precio
3;3;2;113;0;5;Excelente;9 a 15 años;787000;5743362,83;1;1;1;1;0;1;1;0;1;1;1;1;1;0;0;0;0;0;Apartamento;Bella suiza;649000000
1;4;0;80;0;2;No definida;16 a 30 años;No definida;4875000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Casa;Bosa Atalayas;390000000
4;6;4;557;530;6;Excelente;16 a 30 años;3300000;12567776,22;1;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;Apartamento;Santa Bárbara Alta;7000000000
3;3;1;88;81;4;Bueno;1 a 8 años;406000;5852272,73;1;1;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;Apartamento;Barrancas;515000000
1;2;2;95;0;6;Excelente;1 a 8 años;820000;9000000;1;0;0;1;0;0;1;1;1;0;1;1;1;1;0;0;0;0;Apartamento;El Refugio;855000000
4;4;3;243;200;3;Bueno;16 a 30 años;No definida;2469135,8;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;1;1;Casa;Marsella;600000000
3;2;3;130;0;4;Excelente;menor a 1 año;400000;6769230,77;1;1;1;1;0;0;1;1;1;0;1;1;0;0;0;0;0;0;Apartamento;Quinta Paredes;880000000
4;3;2;140;140;6;Excelente;1 a 8 años;1500000;6785714,29;1;1;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;Apartamento;San Patricio;950000000
3;4;3;311;311;4;Bueno;9 a 15 años;890000;5003215,43;0;0;0;0;0;0;1;0;1;1;0;1;1;0;0;0;0;0;Casa;Cerros de Suba;1556000000
4;4;2;143;0;3;Excelente;16 a 30 años;No definida;4545454,55;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;1;Casa;Santa María del Lago;650000000
3;5;4;420;420;6;Excelente;16 a 30 años;1050000;3690476,19;0;0;1;1;0;1;0;0;1;1;1;1;1;0;0;0;0;0;Apartamento;La Carolina;1550000000
3;1;0;51;46;3;Bueno;9 a 15 años;210000;4117647,06;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;Apartamento;Colina;210000000
2;3;2;156;156;6;No definida;más de 30 años;No definida;6089743,59;0;0;0;1;1;0;0;0;0;1;0;0;0;1;1;0;0;0;Apartamento;La Cabrera;950000000
5;3;2;260;260;4;No definida;más de 30 años;No definida;3807692,31;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;Casa;Modelia;990000000
3;2;2;94;0;4;Excelente;9 a 15 años;380000;5085106,38;1;1;1;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;Apartamento;Portales del norte;478000000
5;7;4;570;0;5;Excelente;9 a 15 años;1200000;5087017,54;0;1;1;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;Casa;San José de Bavaria;2899600000
